"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"Indelingswijziging_4";"AantalInwoners_5";"TotaalVermogenVernielingEnGeweld_6";"TotaalVermogensmisdrijven_7";"TotaalDiefstal_8";"Fietsendiefstal_9";"DiefstalOverigeVervoermiddelen_10";"DiefstalUitVanafVervoermiddelen_11";"ZakkenrollerijStraatroofEnBeroving_12";"TotaalDiefstalUitWoningSchuurED_13";"DiefstalUitNietResidentieleGebouwen_14";"OverigeDiefstalInbraak_15";"OverigeVermogensmisdrijven_16";"TotaalVernielingTegenOpenbareOrde_17";"TotaalVernieling_18";"VernielingAanAuto_19";"OverigeVernieling_20";"OverigeVernielingTegenOpenbareOrde_21";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25";"TotaalVermogenVernielingEnGeweld_26";"TotaalVermogensmisdrijven_27";"TotaalDiefstalUitWoningSchuurED_28";"VernielingMisdrijfTegenOpenbareOrde_29";"GeweldsEnSeksueleMisdrijven_30"
"0";"GM1680    ";"Aa en Hunze                   ";"Gemeente";"GM1680    ";;"25243";"507";"326";"237";"34";"3";"19";"2";"69";"28";"82";"89";"115";"107";"42";"65";"8";"66";"28";"20";"18";"20";"13";"3";"4";"3"
"1";"WK168000  ";"Aa en Hunze                   ";"Wijk    ";"WK168000  ";"1";"3557";"60";"37";"29";"7";"0";"0";"0";"7";"8";"7";"8";"18";"18";"10";"8";"0";"5";"1";"2";"2";"17";"10";"2";"5";"1"
"2";"BU16800000";"Aa en Hunze                   ";"Buurt   ";"BU16800000";"1";"3406";"57";"34";"27";"7";"0";"0";"0";"7";"8";"5";"7";"18";"18";"10";"8";"0";"5";"1";"2";"2";"17";"10";"2";"5";"1"
"3";"BU16800009";"Aa en Hunze                   ";"Buurt   ";"BU16800009";"1";"151";"3";"3";"2";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"20";"0";"0";"0"
"4";"WK168001  ";"Aa en Hunze                   ";"Wijk    ";"WK168001  ";"1";"1388";"23";"13";"7";"0";"0";"0";"0";"1";"4";"2";"6";"2";"2";"0";"2";"0";"8";"7";"1";"0";"17";"9";"1";"1";"6"
"5";"BU16800100";"Aa en Hunze                   ";"Buurt   ";"BU16800100";"1";"1227";"15";"6";"1";"0";"0";"0";"0";"0";"0";"1";"5";"1";"1";"0";"1";"0";"8";"7";"1";"0";"12";"5";"0";"1";"7"
"6";"BU16800109";"Aa en Hunze                   ";"Buurt   ";"BU16800109";"1";"161";"8";"7";"6";"0";"0";"0";"0";"1";"4";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"50";"43";"6";"6";"0"
"7";"WK168002  ";"Aa en Hunze                   ";"Wijk    ";"WK168002  ";"1";"448";"14";"10";"9";"0";"0";"0";"0";"5";"0";"4";"1";"1";"1";"0";"1";"0";"3";"0";"2";"1";"31";"22";"11";"2";"7"
"8";"BU16800200";"Aa en Hunze                   ";"Buurt   ";"BU16800200";"1";"329";"2";"2";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6";"0";"0";"0"
"9";"BU16800209";"Aa en Hunze                   ";"Buurt   ";"BU16800209";"1";"119";"12";"8";"7";"0";"0";"0";"0";"5";"0";"2";"1";"1";"1";"0";"1";"0";"3";"0";"2";"1";"101";"67";"42";"8";"25"
"10";"WK168003  ";"Aa en Hunze                   ";"Wijk    ";"WK168003  ";"1";"410";"9";"7";"3";"0";"0";"0";"0";"1";"0";"2";"4";"2";"2";"1";"1";"0";"0";"0";"0";"0";"22";"17";"2";"5";"0"
"11";"BU16800300";"Aa en Hunze                   ";"Buurt   ";"BU16800300";"1";"398";"9";"7";"3";"0";"0";"0";"0";"1";"0";"2";"4";"2";"2";"1";"1";"0";"0";"0";"0";"0";"23";"18";"3";"5";"0"
"12";"BU16800309";"Aa en Hunze                   ";"Buurt   ";"BU16800309";"1";"12";;;;;;;;;;;;;;;;;;;;;;;;;
"13";"WK168004  ";"Aa en Hunze                   ";"Wijk    ";"WK168004  ";"1";"274";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"7";"4";"4";"0";"0"
"14";"BU16800400";"Aa en Hunze                   ";"Buurt   ";"BU16800400";"1";"245";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4";"4";"0";"0"
"15";"BU16800409";"Aa en Hunze                   ";"Buurt   ";"BU16800409";"1";"29";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";;;;;
"16";"WK168005  ";"Aa en Hunze                   ";"Wijk    ";"WK168005  ";"1";"573";"18";"10";"6";"0";"0";"0";"0";"3";"0";"3";"4";"4";"4";"0";"4";"0";"4";"3";"1";"0";"31";"17";"5";"7";"7"
"17";"BU16800500";"Aa en Hunze                   ";"Buurt   ";"BU16800500";"1";"531";"13";"9";"5";"0";"0";"0";"0";"2";"0";"3";"4";"2";"2";"0";"2";"0";"2";"2";"0";"0";"24";"17";"4";"4";"4"
"18";"BU16800509";"Aa en Hunze                   ";"Buurt   ";"BU16800509";"1";"42";"5";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"2";"0";"2";"1";"1";"0";;;;;
"19";"WK168006  ";"Aa en Hunze                   ";"Wijk    ";"WK168006  ";"1";"443";"7";"7";"5";"0";"0";"1";"0";"2";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"16";"5";"0";"0"
"20";"BU16800600";"Aa en Hunze                   ";"Buurt   ";"BU16800600";"1";"432";"7";"7";"5";"0";"0";"1";"0";"2";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"16";"5";"0";"0"
"21";"BU16800609";"Aa en Hunze                   ";"Buurt   ";"BU16800609";"1";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;
"22";"WK168007  ";"Aa en Hunze                   ";"Wijk    ";"WK168007  ";"1";"152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"23";"BU16800700";"Aa en Hunze                   ";"Buurt   ";"BU16800700";"1";"152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"BU16800709";"Aa en Hunze                   ";"Buurt   ";"BU16800709";"1";"0";;;;;;;;;;;;;;;;;;;;;;;;;
"25";"WK168008  ";"Aa en Hunze                   ";"Wijk    ";"WK168008  ";"1";"112";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"9";"0";"0";"0"
"26";"BU16800800";"Aa en Hunze                   ";"Buurt   ";"BU16800800";"1";"105";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0"
"27";"BU16800809";"Aa en Hunze                   ";"Buurt   ";"BU16800809";"1";"7";;;;;;;;;;;;;;;;;;;;;;;;;
"28";"WK168009  ";"Aa en Hunze                   ";"Wijk    ";"WK168009  ";"1";"128";"3";"3";"3";"0";"0";"0";"0";"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"23";"0";"0";"0"
"29";"BU16800900";"Aa en Hunze                   ";"Buurt   ";"BU16800900";"1";"124";"3";"3";"3";"0";"0";"0";"0";"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"24";"0";"0";"0"
"30";"BU16800909";"Aa en Hunze                   ";"Buurt   ";"BU16800909";"1";"4";;;;;;;;;;;;;;;;;;;;;;;;;
"31";"WK168011  ";"Aa en Hunze                   ";"Wijk    ";"WK168011  ";"1";"419";"10";"5";"3";"0";"0";"0";"0";"1";"0";"2";"2";"1";"1";"0";"1";"0";"4";"1";"2";"1";"24";"12";"2";"2";"10"
"32";"BU16801100";"Aa en Hunze                   ";"Buurt   ";"BU16801100";"1";"419";"10";"5";"3";"0";"0";"0";"0";"1";"0";"2";"2";"1";"1";"0";"1";"0";"4";"1";"2";"1";"24";"12";"2";"2";"10"
"33";"BU16801109";"Aa en Hunze                   ";"Buurt   ";"BU16801109";"1";"0";;;;;;;;;;;;;;;;;;;;;;;;;
"34";"WK168012  ";"Aa en Hunze                   ";"Wijk    ";"WK168012  ";"1";"272";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"15";"11";"0";"0";"4"
"35";"BU16801200";"Aa en Hunze                   ";"Buurt   ";"BU16801200";"1";"249";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"16";"12";"0";"0";"4"
"36";"BU16801209";"Aa en Hunze                   ";"Buurt   ";"BU16801209";"1";"23";;;;;;;;;;;;;;;;;;;;;;;;;
"37";"WK168013  ";"Aa en Hunze                   ";"Wijk    ";"WK168013  ";"1";"137";;;;;;;;;;;;;;;;;;;;;;;;;
"38";"BU16801300";"Aa en Hunze                   ";"Buurt   ";"BU16801300";"1";"100";;;;;;;;;;;;;;;;;;;;;;;;;
"39";"BU16801309";"Aa en Hunze                   ";"Buurt   ";"BU16801309";"1";"37";;;;;;;;;;;;;;;;;;;;;;;;;
