ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
1618;GM1680;2017JJ00;12603;12683;1584;92;    70.7;    27.7;     1.6;     5.6;    10.9;    25.0;    24.6;    33.8;    34.1;    33.1;    42.2;510
1619;GM1680;2018JJ00;12666;12724;1644;92;    73.1;    25.4;     1.5;     6.0;    11.0;    25.7;    25.0;    33.9;    34.0;    33.2;    44.0;410
1620;GM1680;2019JJ00;12659;12727;1707;92;    74.1;    25.7;     0.2;     6.1;    11.1;    26.2;    26.3;    35.0;    36.6;    34.5;    47.7;310
1646;GM0738;2017JJ00;6615;6452;759;259;    71.6;    28.3;     0.2;     3.4;     4.9;    24.2;    26.0;    32.9;    33.7;    31.2;    41.9;160
1647;GM0738;2018JJ00;6684;6469;789;261;    72.4;    26.9;     0.6;     3.6;     5.0;    25.3;    26.4;    33.1;    34.0;    31.8;    43.1;120
1648;GM0738;2019JJ00;;;;;;;;;;;;;;;;
1674;GM0358;2017JJ00;15516;15857;5856;1559;    63.1;    35.0;     1.9;    17.1;    12.8;    28.8;    26.6;    37.7;    39.4;    34.8;    47.6;470
1675;GM0358;2018JJ00;15596;15903;6062;1566;    64.1;    34.0;     1.9;    18.2;    12.9;    27.9;    27.2;    37.4;    39.8;    35.6;    48.4;400
1676;GM0358;2019JJ00;15694;16034;6282;1577;    64.6;    35.4;     0.0;    18.2;    13.0;    30.5;    30.3;    42.1;    43.3;    37.4;    60.7;380
1702;GM0197;2017JJ00;13625;13422;3153;280;    69.6;    28.8;     1.6;     9.1;    11.3;    23.4;    24.4;    30.5;    30.4;    29.5;    41.0;320
1703;GM0197;2018JJ00;13559;13403;3038;279;    69.8;    28.7;     1.5;     9.6;    11.3;    24.0;    24.5;    30.8;    31.5;    29.9;    42.7;270
1704;GM0197;2019JJ00;13559;13452;3031;280;    70.8;    29.0;     0.2;     9.4;    11.4;    25.7;    25.7;    32.8;    33.4;    31.3;    51.1;230
1730;GM0480;2017JJ00;;;;;;;;;;;;;;;;
1731;GM0480;2018JJ00;;;;;;;;;;;;;;;;
1732;GM0480;2019JJ00;;;;;;;;;;;;;;;;
1758;GM0739;2017JJ00;;;;;;;;;;;;;;;;
1759;GM0739;2018JJ00;;;;;;;;;;;;;;;;
1760;GM0739;2019JJ00;;;;;;;;;;;;;;;;
1786;GM0305;2017JJ00;;;;;;;;;;;;;;;;
1787;GM0305;2018JJ00;;;;;;;;;;;;;;;;
1788;GM0305;2019JJ00;;;;;;;;;;;;;;;;
1814;GM0059;2017JJ00;14185;13708;1154;273;    62.8;    35.7;     1.5;     7.3;    11.5;    21.5;    22.1;    27.6;    28.1;    27.5;    35.7;570
1815;GM0059;2018JJ00;14203;13732;1175;273;    63.9;    34.5;     1.6;     7.2;    11.6;    21.9;    23.2;    27.7;    28.6;    27.9;    36.9;480
1816;GM0059;2019JJ00;14167;13685;1242;272;    64.0;    35.8;     0.1;     7.9;    11.7;    23.3;    23.4;    29.1;    30.6;    29.1;    39.4;450
1842;GM0360;2017JJ00;;;;;;;;;;;;;;;;
1843;GM0360;2018JJ00;;;;;;;;;;;;;;;;
1844;GM0360;2019JJ00;;;;;;;;;;;;;;;;
1870;GM0482;2017JJ00;9809;10199;2788;2276;    59.6;    40.3;     0.0;     8.9;     8.0;    23.8;    23.5;    31.4;    32.5;    31.7;    39.7;320
1871;GM0482;2018JJ00;9826;10188;2884;2280;    60.5;    39.3;     0.1;     9.3;     8.1;    23.9;    23.8;    31.2;    33.6;    32.0;    42.5;230
1872;GM0482;2019JJ00;9853;10216;2953;2286;    61.3;    38.6;     0.1;     9.2;     8.1;    25.9;    25.3;    33.2;    35.1;    33.2;    45.5;190
1898;GM0613;2017JJ00;12450;12655;4958;1155;    67.3;    31.8;     0.9;     9.9;    10.0;    27.9;    26.5;    38.9;    38.4;    37.0;    46.5;400
1899;GM0613;2018JJ00;12499;12719;5095;1163;    68.0;    31.2;     0.9;     9.4;    10.1;    28.2;    26.0;    39.8;    40.3;    37.3;    52.2;320
1900;GM0613;2019JJ00;12518;12753;5257;1165;    68.9;    31.0;     0.1;     8.1;    10.1;    29.0;    28.0;    41.9;    42.6;    39.0;    57.3;300
1926;GM0483;2017JJ00;;;;;;;;;;;;;;;;
1927;GM0483;2018JJ00;;;;;;;;;;;;;;;;
1928;GM0483;2019JJ00;;;;;;;;;;;;;;;;
1954;GM0361;2017JJ00;53659;54714;23931;981;    57.4;    41.3;     1.3;    55.6;    50.2;    24.3;    23.5;    33.3;    32.7;    31.3;    38.3;1830
1955;GM0361;2018JJ00;53713;54757;24143;982;    58.0;    40.8;     1.2;    55.0;    50.6;    24.8;    24.0;    33.3;    33.3;    31.6;    40.2;1520
1956;GM0361;2019JJ00;53695;54863;24160;983;    58.8;    41.1;     0.1;    57.3;    51.1;    26.1;    25.3;    35.9;    35.5;    32.9;    45.9;1310
1982;GM0141;2017JJ00;36165;36314;18260;1077;    53.5;    46.0;     0.5;    42.1;    31.6;    22.1;    21.1;    29.5;    28.7;    28.6;    39.0;1400
1983;GM0141;2018JJ00;36239;36390;18592;1080;    54.4;    45.1;     0.5;    42.7;    31.8;    22.5;    21.5;    29.1;    29.3;    28.8;    39.6;1110
1984;GM0141;2019JJ00;36421;36428;18849;1083;    54.7;    45.2;     0.1;    43.5;    32.3;    23.5;    23.3;    31.4;    31.4;    30.0;    44.8;1070
2010;GM0034;2017JJ00;99673;101241;81970;1555;    63.7;    36.1;     0.2;    65.3;    82.4;    24.3;    22.9;    34.4;    31.7;    31.4;    35.6;4640
2011;GM0034;2018JJ00;101181;102809;84891;1579;    63.3;    36.4;     0.3;    69.6;    83.9;    25.0;    23.5;    34.3;    32.2;    31.8;    36.9;3920
2012;GM0034;2019JJ00;103082;104822;88742;1609;    64.2;    35.6;     0.2;    72.1;    85.8;    26.0;    24.9;    36.4;    34.2;    33.1;    41.1;3410
2038;GM0484;2017JJ00;54164;54751;20923;861;    62.6;    36.8;     0.6;    42.5;    46.4;    25.5;    25.7;    35.3;    34.2;    32.6;    41.4;1720
2039;GM0484;2018JJ00;54563;55119;21621;869;    63.0;    36.6;     0.4;    43.3;    46.9;    25.9;    25.3;    35.0;    35.6;    33.0;    43.9;1430
2040;GM0484;2019JJ00;55283;55703;22559;879;    63.6;    36.3;     0.1;    44.2;    47.8;    27.5;    27.1;    38.6;    37.7;    34.3;    52.3;1220
2066;GM0741;2017JJ00;;;;;;;;;;;;;;;;
2067;GM0741;2018JJ00;;;;;;;;;;;;;;;;
2068;GM0741;2019JJ00;;;;;;;;;;;;;;;;
